INFO:root:Start SimCLR training for 200 epochs.
INFO:root:Training with gpu: False.
DEBUG:root:Epoch: 70	Loss: 2.3859188556671143	Top1 accuracy: 53.90625
DEBUG:root:Epoch: 71	Loss: 2.310015916824341	Top1 accuracy: 59.9609375
DEBUG:root:Epoch: 72	Loss: 2.4462428092956543	Top1 accuracy: 51.5625
DEBUG:root:Epoch: 73	Loss: 2.0485944747924805	Top1 accuracy: 59.9609375
DEBUG:root:Epoch: 74	Loss: 2.083894729614258	Top1 accuracy: 56.0546875
DEBUG:root:Epoch: 75	Loss: 2.20090913772583	Top1 accuracy: 61.5234375
DEBUG:root:Epoch: 76	Loss: 2.186584711074829	Top1 accuracy: 58.203125
DEBUG:root:Epoch: 77	Loss: 2.3260982036590576	Top1 accuracy: 51.953125
DEBUG:root:Epoch: 78	Loss: 2.49416184425354	Top1 accuracy: 51.5625
DEBUG:root:Epoch: 79	Loss: 2.5779995918273926	Top1 accuracy: 59.9609375
DEBUG:root:Epoch: 80	Loss: 2.1406354904174805	Top1 accuracy: 57.03125
DEBUG:root:Epoch: 81	Loss: 2.13551664352417	Top1 accuracy: 61.9140625
DEBUG:root:Epoch: 82	Loss: 2.171692132949829	Top1 accuracy: 60.15625
DEBUG:root:Epoch: 83	Loss: 2.011756658554077	Top1 accuracy: 57.03125
DEBUG:root:Epoch: 84	Loss: 1.9578871726989746	Top1 accuracy: 57.2265625
DEBUG:root:Epoch: 85	Loss: 2.3050596714019775	Top1 accuracy: 56.0546875
DEBUG:root:Epoch: 86	Loss: 2.1423444747924805	Top1 accuracy: 54.8828125
DEBUG:root:Epoch: 87	Loss: 2.1301217079162598	Top1 accuracy: 55.6640625
DEBUG:root:Epoch: 88	Loss: 2.176942825317383	Top1 accuracy: 59.5703125
DEBUG:root:Epoch: 89	Loss: 1.9307643175125122	Top1 accuracy: 56.0546875
DEBUG:root:Epoch: 90	Loss: 1.9723711013793945	Top1 accuracy: 57.2265625
DEBUG:root:Epoch: 91	Loss: 2.287471055984497	Top1 accuracy: 56.640625
DEBUG:root:Epoch: 92	Loss: 1.9077240228652954	Top1 accuracy: 56.8359375
DEBUG:root:Epoch: 93	Loss: 2.0370032787323	Top1 accuracy: 62.5
DEBUG:root:Epoch: 94	Loss: 2.006190061569214	Top1 accuracy: 60.15625
DEBUG:root:Epoch: 95	Loss: 2.0432729721069336	Top1 accuracy: 60.3515625
DEBUG:root:Epoch: 96	Loss: 1.9585243463516235	Top1 accuracy: 56.640625
DEBUG:root:Epoch: 97	Loss: 2.1442320346832275	Top1 accuracy: 60.15625
DEBUG:root:Epoch: 98	Loss: 1.9206098318099976	Top1 accuracy: 53.90625
DEBUG:root:Epoch: 99	Loss: 2.1700897216796875	Top1 accuracy: 56.4453125
DEBUG:root:Epoch: 100	Loss: 1.9464818239212036	Top1 accuracy: 64.84375
DEBUG:root:Epoch: 101	Loss: 1.8441451787948608	Top1 accuracy: 54.6875
DEBUG:root:Epoch: 102	Loss: 1.8896570205688477	Top1 accuracy: 61.71875
DEBUG:root:Epoch: 103	Loss: 2.01161789894104	Top1 accuracy: 61.1328125
DEBUG:root:Epoch: 104	Loss: 2.0511088371276855	Top1 accuracy: 57.03125
DEBUG:root:Epoch: 105	Loss: 2.115834951400757	Top1 accuracy: 61.71875
DEBUG:root:Epoch: 106	Loss: 2.107795476913452	Top1 accuracy: 62.109375
DEBUG:root:Epoch: 107	Loss: 2.186713933944702	Top1 accuracy: 61.328125
DEBUG:root:Epoch: 108	Loss: 1.831103801727295	Top1 accuracy: 61.71875
DEBUG:root:Epoch: 109	Loss: 2.1264281272888184	Top1 accuracy: 64.2578125
DEBUG:root:Epoch: 110	Loss: 1.6976960897445679	Top1 accuracy: 61.5234375
DEBUG:root:Epoch: 111	Loss: 1.9041861295700073	Top1 accuracy: 62.6953125
DEBUG:root:Epoch: 112	Loss: 1.9554084539413452	Top1 accuracy: 56.4453125
DEBUG:root:Epoch: 113	Loss: 2.048403263092041	Top1 accuracy: 64.6484375
DEBUG:root:Epoch: 114	Loss: 1.9623608589172363	Top1 accuracy: 58.203125
DEBUG:root:Epoch: 115	Loss: 1.9014227390289307	Top1 accuracy: 56.0546875
DEBUG:root:Epoch: 116	Loss: 1.8737108707427979	Top1 accuracy: 63.8671875
DEBUG:root:Epoch: 117	Loss: 1.9719698429107666	Top1 accuracy: 61.9140625
DEBUG:root:Epoch: 118	Loss: 2.170880079269409	Top1 accuracy: 57.03125
DEBUG:root:Epoch: 119	Loss: 2.0963850021362305	Top1 accuracy: 65.0390625
DEBUG:root:Epoch: 120	Loss: 1.7203786373138428	Top1 accuracy: 66.6015625
DEBUG:root:Epoch: 121	Loss: 1.995400071144104	Top1 accuracy: 60.546875
DEBUG:root:Epoch: 122	Loss: 1.957193374633789	Top1 accuracy: 58.203125
DEBUG:root:Epoch: 123	Loss: 2.188258409500122	Top1 accuracy: 63.0859375
DEBUG:root:Epoch: 124	Loss: 1.9325878620147705	Top1 accuracy: 59.1796875
DEBUG:root:Epoch: 125	Loss: 1.8088427782058716	Top1 accuracy: 59.765625
DEBUG:root:Epoch: 126	Loss: 1.9192047119140625	Top1 accuracy: 64.84375
DEBUG:root:Epoch: 127	Loss: 1.6472694873809814	Top1 accuracy: 55.6640625
DEBUG:root:Epoch: 128	Loss: 1.9539003372192383	Top1 accuracy: 64.453125
DEBUG:root:Epoch: 129	Loss: 1.998613953590393	Top1 accuracy: 66.40625
DEBUG:root:Epoch: 130	Loss: 1.9102535247802734	Top1 accuracy: 61.71875
DEBUG:root:Epoch: 131	Loss: 1.7433550357818604	Top1 accuracy: 66.796875
DEBUG:root:Epoch: 132	Loss: 1.712248682975769	Top1 accuracy: 59.1796875
DEBUG:root:Epoch: 133	Loss: 1.9798204898834229	Top1 accuracy: 63.28125
DEBUG:root:Epoch: 134	Loss: 1.9150902032852173	Top1 accuracy: 65.0390625
DEBUG:root:Epoch: 135	Loss: 1.8435587882995605	Top1 accuracy: 62.5
DEBUG:root:Epoch: 136	Loss: 1.9725048542022705	Top1 accuracy: 57.2265625
DEBUG:root:Epoch: 137	Loss: 1.725078821182251	Top1 accuracy: 64.84375
DEBUG:root:Epoch: 138	Loss: 1.4571781158447266	Top1 accuracy: 61.1328125
DEBUG:root:Epoch: 139	Loss: 1.6977503299713135	Top1 accuracy: 66.015625
DEBUG:root:Epoch: 140	Loss: 1.772688865661621	Top1 accuracy: 64.2578125
DEBUG:root:Epoch: 141	Loss: 1.753758430480957	Top1 accuracy: 59.9609375
DEBUG:root:Epoch: 142	Loss: 1.7865188121795654	Top1 accuracy: 61.71875
DEBUG:root:Epoch: 143	Loss: 1.9277148246765137	Top1 accuracy: 64.453125
DEBUG:root:Epoch: 144	Loss: 1.7605910301208496	Top1 accuracy: 62.3046875
DEBUG:root:Epoch: 145	Loss: 1.9045177698135376	Top1 accuracy: 64.6484375
DEBUG:root:Epoch: 146	Loss: 1.9276821613311768	Top1 accuracy: 60.9375
DEBUG:root:Epoch: 147	Loss: 2.0075182914733887	Top1 accuracy: 64.2578125
DEBUG:root:Epoch: 148	Loss: 1.67526113986969	Top1 accuracy: 61.328125
DEBUG:root:Epoch: 149	Loss: 1.5016388893127441	Top1 accuracy: 59.765625
DEBUG:root:Epoch: 150	Loss: 1.8956458568572998	Top1 accuracy: 66.015625
DEBUG:root:Epoch: 151	Loss: 1.6679011583328247	Top1 accuracy: 64.0625
DEBUG:root:Epoch: 152	Loss: 1.8368176221847534	Top1 accuracy: 61.71875
DEBUG:root:Epoch: 153	Loss: 1.826540231704712	Top1 accuracy: 58.0078125
DEBUG:root:Epoch: 154	Loss: 1.6265888214111328	Top1 accuracy: 64.453125
DEBUG:root:Epoch: 155	Loss: 1.7895376682281494	Top1 accuracy: 62.5
DEBUG:root:Epoch: 156	Loss: 1.6906541585922241	Top1 accuracy: 65.234375
DEBUG:root:Epoch: 157	Loss: 1.941892385482788	Top1 accuracy: 62.3046875
DEBUG:root:Epoch: 158	Loss: 1.7250347137451172	Top1 accuracy: 70.3125
DEBUG:root:Epoch: 159	Loss: 1.7235101461410522	Top1 accuracy: 60.3515625
DEBUG:root:Epoch: 160	Loss: 1.6460717916488647	Top1 accuracy: 66.9921875
DEBUG:root:Epoch: 161	Loss: 1.8715386390686035	Top1 accuracy: 65.4296875
DEBUG:root:Epoch: 162	Loss: 1.849683165550232	Top1 accuracy: 71.6796875
DEBUG:root:Epoch: 163	Loss: 1.7739018201828003	Top1 accuracy: 66.2109375
DEBUG:root:Epoch: 164	Loss: 1.699783205986023	Top1 accuracy: 71.09375
DEBUG:root:Epoch: 165	Loss: 1.824389100074768	Top1 accuracy: 68.5546875
DEBUG:root:Epoch: 166	Loss: 1.7524454593658447	Top1 accuracy: 63.4765625
DEBUG:root:Epoch: 167	Loss: 1.7556105852127075	Top1 accuracy: 60.9375
DEBUG:root:Epoch: 168	Loss: 1.8115909099578857	Top1 accuracy: 59.9609375
DEBUG:root:Epoch: 169	Loss: 1.6579760313034058	Top1 accuracy: 70.5078125
DEBUG:root:Epoch: 170	Loss: 1.7247213125228882	Top1 accuracy: 63.4765625
DEBUG:root:Epoch: 171	Loss: 1.9057891368865967	Top1 accuracy: 69.140625
DEBUG:root:Epoch: 172	Loss: 1.6535298824310303	Top1 accuracy: 69.140625
DEBUG:root:Epoch: 173	Loss: 1.8447970151901245	Top1 accuracy: 67.578125
DEBUG:root:Epoch: 174	Loss: 1.5876532793045044	Top1 accuracy: 68.359375
DEBUG:root:Epoch: 175	Loss: 1.6600821018218994	Top1 accuracy: 63.0859375
DEBUG:root:Epoch: 176	Loss: 1.7469148635864258	Top1 accuracy: 65.625
DEBUG:root:Epoch: 177	Loss: 1.6663291454315186	Top1 accuracy: 65.0390625
DEBUG:root:Epoch: 178	Loss: 1.9860237836837769	Top1 accuracy: 66.6015625
DEBUG:root:Epoch: 179	Loss: 1.8191807270050049	Top1 accuracy: 62.5
DEBUG:root:Epoch: 180	Loss: 1.6745319366455078	Top1 accuracy: 67.7734375
DEBUG:root:Epoch: 181	Loss: 1.7675775289535522	Top1 accuracy: 69.53125
DEBUG:root:Epoch: 182	Loss: 1.92886221408844	Top1 accuracy: 67.578125
DEBUG:root:Epoch: 183	Loss: 1.9203262329101562	Top1 accuracy: 67.96875
