My SLURM_ARRAY_TASK_ID: 


Using device: cuda
Files already downloaded and verified
Files already downloaded and verified
Epoch 50	Top1 Train accuracy 70.42330932617188	Top1 Test accuracy: 68.31629180908203	Top5 test acc: 97.33972930908203
Epoch 51	Top1 Train accuracy 70.42530059814453	Top1 Test accuracy: 68.29676055908203	Top5 test acc: 97.34949493408203
Epoch 52	Top1 Train accuracy 70.44522857666016	Top1 Test accuracy: 68.26746368408203	Top5 test acc: 97.34949493408203
Epoch 53	Top1 Train accuracy 70.46117401123047	Top1 Test accuracy: 68.26746368408203	Top5 test acc: 97.34949493408203
Epoch 54	Top1 Train accuracy 70.46715545654297	Top1 Test accuracy: 68.31629180908203	Top5 test acc: 97.35926055908203
Epoch 55	Top1 Train accuracy 70.4970474243164	Top1 Test accuracy: 68.33582305908203	Top5 test acc: 97.34949493408203
Epoch 56	Top1 Train accuracy 70.51498413085938	Top1 Test accuracy: 68.33582305908203	Top5 test acc: 97.34949493408203
Epoch 57	Top1 Train accuracy 70.49903869628906	Top1 Test accuracy: 68.35535430908203	Top5 test acc: 97.34949493408203
Epoch 58	Top1 Train accuracy 70.51498413085938	Top1 Test accuracy: 68.36511993408203	Top5 test acc: 97.34949493408203
Epoch 59	Top1 Train accuracy 70.53292083740234	Top1 Test accuracy: 68.41394805908203	Top5 test acc: 97.34949493408203
Epoch 60	Top1 Train accuracy 70.53691101074219	Top1 Test accuracy: 68.42371368408203	Top5 test acc: 97.37879180908203
Epoch 61	Top1 Train accuracy 70.56680297851562	Top1 Test accuracy: 68.43347930908203	Top5 test acc: 97.36902618408203
Epoch 62	Top1 Train accuracy 70.5787582397461	Top1 Test accuracy: 68.43347930908203	Top5 test acc: 97.36902618408203
Epoch 63	Top1 Train accuracy 70.59271240234375	Top1 Test accuracy: 68.46163177490234	Top5 test acc: 97.37879180908203
Epoch 64	Top1 Train accuracy 70.61663055419922	Top1 Test accuracy: 68.46163177490234	Top5 test acc: 97.36902618408203
Epoch 65	Top1 Train accuracy 70.63456726074219	Top1 Test accuracy: 68.45186614990234	Top5 test acc: 97.38855743408203
Epoch 66	Top1 Train accuracy 70.65050506591797	Top1 Test accuracy: 68.44210052490234	Top5 test acc: 97.37879180908203
Epoch 67	Top1 Train accuracy 70.65847778320312	Top1 Test accuracy: 68.43233489990234	Top5 test acc: 97.37879180908203
Epoch 68	Top1 Train accuracy 70.66645050048828	Top1 Test accuracy: 68.45186614990234	Top5 test acc: 97.37879180908203
Epoch 69	Top1 Train accuracy 70.68040466308594	Top1 Test accuracy: 68.43233489990234	Top5 test acc: 97.36902618408203
Epoch 70	Top1 Train accuracy 70.69435119628906	Top1 Test accuracy: 68.43233489990234	Top5 test acc: 97.35926055908203
Epoch 71	Top1 Train accuracy 70.71228790283203	Top1 Test accuracy: 68.43233489990234	Top5 test acc: 97.36902618408203
Epoch 72	Top1 Train accuracy 70.72225952148438	Top1 Test accuracy: 68.44210052490234	Top5 test acc: 97.37879180908203
Epoch 73	Top1 Train accuracy 70.73222351074219	Top1 Test accuracy: 68.44210052490234	Top5 test acc: 97.37879180908203
Epoch 74	Top1 Train accuracy 70.74617004394531	Top1 Test accuracy: 68.44210052490234	Top5 test acc: 97.35926055908203
Epoch 75	Top1 Train accuracy 70.7421875	Top1 Test accuracy: 68.44210052490234	Top5 test acc: 97.34949493408203
Epoch 76	Top1 Train accuracy 70.76410675048828	Top1 Test accuracy: 68.46163177490234	Top5 test acc: 97.33972930908203
Epoch 77	Top1 Train accuracy 70.75813293457031	Top1 Test accuracy: 68.47139739990234	Top5 test acc: 97.33972930908203
Epoch 78	Top1 Train accuracy 70.75613403320312	Top1 Test accuracy: 68.46277618408203	Top5 test acc: 97.34949493408203
Epoch 79	Top1 Train accuracy 70.75813293457031	Top1 Test accuracy: 68.45301055908203	Top5 test acc: 97.31157684326172
Epoch 80	Top1 Train accuracy 70.77207946777344	Top1 Test accuracy: 68.44324493408203	Top5 test acc: 97.31157684326172
Epoch 81	Top1 Train accuracy 70.77606964111328	Top1 Test accuracy: 68.45301055908203	Top5 test acc: 97.31157684326172
Epoch 82	Top1 Train accuracy 70.78204345703125	Top1 Test accuracy: 68.44324493408203	Top5 test acc: 97.31157684326172
Epoch 83	Top1 Train accuracy 70.78802490234375	Top1 Test accuracy: 68.46163177490234	Top5 test acc: 97.31157684326172
Epoch 84	Top1 Train accuracy 70.81194305419922	Top1 Test accuracy: 68.45186614990234	Top5 test acc: 97.31157684326172
Epoch 85	Top1 Train accuracy 70.83027648925781	Top1 Test accuracy: 68.45186614990234	Top5 test acc: 97.32134246826172
Epoch 86	Top1 Train accuracy 70.83625793457031	Top1 Test accuracy: 68.45071411132812	Top5 test acc: 97.32134246826172
Epoch 87	Top1 Train accuracy 70.85419464111328	Top1 Test accuracy: 68.47024536132812	Top5 test acc: 97.32134246826172
Epoch 88	Top1 Train accuracy 70.86016845703125	Top1 Test accuracy: 68.45071411132812	Top5 test acc: 97.32134246826172
Epoch 89	Top1 Train accuracy 70.8581771850586	Top1 Test accuracy: 68.43118286132812	Top5 test acc: 97.32134246826172
Epoch 90	Top1 Train accuracy 70.8581771850586	Top1 Test accuracy: 68.43118286132812	Top5 test acc: 97.32134246826172
Epoch 91	Top1 Train accuracy 70.86216735839844	Top1 Test accuracy: 68.44094848632812	Top5 test acc: 97.31157684326172
Epoch 92	Top1 Train accuracy 70.8641586303711	Top1 Test accuracy: 68.48001098632812	Top5 test acc: 97.31157684326172
Epoch 93	Top1 Train accuracy 70.86016845703125	Top1 Test accuracy: 68.47024536132812	Top5 test acc: 97.31157684326172
Epoch 94	Top1 Train accuracy 70.8641586303711	Top1 Test accuracy: 68.4788589477539	Top5 test acc: 97.31157684326172
Epoch 95	Top1 Train accuracy 70.8681411743164	Top1 Test accuracy: 68.4788589477539	Top5 test acc: 97.32134246826172
Epoch 96	Top1 Train accuracy 70.88408660888672	Top1 Test accuracy: 68.4788589477539	Top5 test acc: 97.32134246826172
Epoch 97	Top1 Train accuracy 70.8801040649414	Top1 Test accuracy: 68.4690933227539	Top5 test acc: 97.32134246826172
Epoch 98	Top1 Train accuracy 70.88209533691406	Top1 Test accuracy: 68.4788589477539	Top5 test acc: 97.32134246826172
Epoch 99	Top1 Train accuracy 70.8801040649414	Top1 Test accuracy: 68.4983901977539	Top5 test acc: 97.32134246826172
