My SLURM_ARRAY_TASK_ID: 


Using device: cuda
Files already downloaded and verified
Files already downloaded and verified
Epoch 0	Top1 Train accuracy 50.71906661987305	Top1 Test accuracy: 61.667049407958984	Top5 test acc: 95.61580657958984
Epoch 1	Top1 Train accuracy 64.1529769897461	Top1 Test accuracy: 64.05905151367188	Top5 test acc: 96.51424407958984
Epoch 2	Top1 Train accuracy 65.72544860839844	Top1 Test accuracy: 65.25907897949219	Top5 test acc: 96.66072845458984
Epoch 3	Top1 Train accuracy 66.45128631591797	Top1 Test accuracy: 65.8082504272461	Top5 test acc: 96.86466217041016
Epoch 4	Top1 Train accuracy 66.93956756591797	Top1 Test accuracy: 65.95588684082031	Top5 test acc: 96.91234588623047
Epoch 5	Top1 Train accuracy 67.2803726196289	Top1 Test accuracy: 66.1402816772461	Top5 test acc: 96.96001434326172
Epoch 6	Top1 Train accuracy 67.57533264160156	Top1 Test accuracy: 66.3844223022461	Top5 test acc: 96.95024871826172
Epoch 7	Top1 Train accuracy 67.83163452148438	Top1 Test accuracy: 66.66877746582031	Top5 test acc: 96.95024871826172
Epoch 8	Top1 Train accuracy 68.03890228271484	Top1 Test accuracy: 66.87385559082031	Top5 test acc: 97.02837371826172
Epoch 9	Top1 Train accuracy 68.1983413696289	Top1 Test accuracy: 67.02780151367188	Top5 test acc: 97.01860809326172
Epoch 10	Top1 Train accuracy 68.37969970703125	Top1 Test accuracy: 67.26103210449219	Top5 test acc: 96.97954559326172
Epoch 11	Top1 Train accuracy 68.51123809814453	Top1 Test accuracy: 67.29894256591797	Top5 test acc: 96.97954559326172
Epoch 12	Top1 Train accuracy 68.68463134765625	Top1 Test accuracy: 67.39430236816406	Top5 test acc: 97.00023651123047
Epoch 13	Top1 Train accuracy 68.82613372802734	Top1 Test accuracy: 67.52986907958984	Top5 test acc: 97.01000213623047
Epoch 14	Top1 Train accuracy 68.95567321777344	Top1 Test accuracy: 67.54078674316406	Top5 test acc: 97.04906463623047
Epoch 15	Top1 Train accuracy 69.08721160888672	Top1 Test accuracy: 67.64705657958984	Top5 test acc: 97.06859588623047
Epoch 16	Top1 Train accuracy 69.21475982666016	Top1 Test accuracy: 67.76424407958984	Top5 test acc: 97.02953338623047
Epoch 17	Top1 Train accuracy 69.32238006591797	Top1 Test accuracy: 67.85099029541016	Top5 test acc: 97.04906463623047
Epoch 18	Top1 Train accuracy 69.39612579345703	Top1 Test accuracy: 67.91934967041016	Top5 test acc: 97.06859588623047
Epoch 19	Top1 Train accuracy 69.49577331542969	Top1 Test accuracy: 68.06583404541016	Top5 test acc: 97.05883026123047
Epoch 20	Top1 Train accuracy 69.5715103149414	Top1 Test accuracy: 68.03539276123047	Top5 test acc: 97.08812713623047
Epoch 21	Top1 Train accuracy 69.609375	Top1 Test accuracy: 68.10489654541016	Top5 test acc: 97.05883026123047
Epoch 22	Top1 Train accuracy 69.65919494628906	Top1 Test accuracy: 68.07674407958984	Top5 test acc: 97.04906463623047
Epoch 23	Top1 Train accuracy 69.71101379394531	Top1 Test accuracy: 68.05492401123047	Top5 test acc: 97.05883026123047
Epoch 24	Top1 Train accuracy 69.77080535888672	Top1 Test accuracy: 68.10375213623047	Top5 test acc: 97.06859588623047
Epoch 25	Top1 Train accuracy 69.79671478271484	Top1 Test accuracy: 68.13304901123047	Top5 test acc: 97.12718963623047
Epoch 26	Top1 Train accuracy 69.86048889160156	Top1 Test accuracy: 68.14281463623047	Top5 test acc: 97.15648651123047
Epoch 27	Top1 Train accuracy 69.90831756591797	Top1 Test accuracy: 68.23070526123047	Top5 test acc: 97.14672088623047
Epoch 28	Top1 Train accuracy 69.96810913085938	Top1 Test accuracy: 68.26976776123047	Top5 test acc: 97.13695526123047
Epoch 29	Top1 Train accuracy 70.00797271728516	Top1 Test accuracy: 68.30883026123047	Top5 test acc: 97.16625213623047
Epoch 30	Top1 Train accuracy 70.04185485839844	Top1 Test accuracy: 68.39556121826172	Top5 test acc: 97.15648651123047
Epoch 31	Top1 Train accuracy 70.07572937011719	Top1 Test accuracy: 68.47368621826172	Top5 test acc: 97.13695526123047
Epoch 32	Top1 Train accuracy 70.10163879394531	Top1 Test accuracy: 68.45415496826172	Top5 test acc: 97.15648651123047
Epoch 33	Top1 Train accuracy 70.13751220703125	Top1 Test accuracy: 68.43578338623047	Top5 test acc: 97.14672088623047
