My SLURM_ARRAY_TASK_ID: 


Using device: cuda
Files already downloaded and verified
Files already downloaded and verified
Epoch 0	Top1 Train accuracy 50.31768035888672	Top1 Test accuracy: 60.7829704284668	Top5 test acc: 95.77320861816406
Epoch 1	Top1 Train accuracy 62.85833740234375	Top1 Test accuracy: 63.382354736328125	Top5 test acc: 96.42635345458984
Epoch 2	Top1 Train accuracy 64.77558898925781	Top1 Test accuracy: 64.84030151367188	Top5 test acc: 96.79859924316406
Epoch 3	Top1 Train accuracy 65.8581771850586	Top1 Test accuracy: 65.51412963867188	Top5 test acc: 96.87557220458984
Epoch 4	Top1 Train accuracy 66.56568908691406	Top1 Test accuracy: 65.85478210449219	Top5 test acc: 96.96346282958984
Epoch 5	Top1 Train accuracy 67.06592559814453	Top1 Test accuracy: 66.23334503173828	Top5 test acc: 96.96346282958984
Epoch 6	Top1 Train accuracy 67.55859375	Top1 Test accuracy: 66.50563049316406	Top5 test acc: 96.98299407958984
Epoch 7	Top1 Train accuracy 67.84996795654297	Top1 Test accuracy: 66.85719299316406	Top5 test acc: 97.09041595458984
Epoch 8	Top1 Train accuracy 68.15967559814453	Top1 Test accuracy: 67.06859588623047	Top5 test acc: 97.14900970458984
Epoch 9	Top1 Train accuracy 68.44586944580078	Top1 Test accuracy: 67.12833404541016	Top5 test acc: 97.20645904541016
Epoch 10	Top1 Train accuracy 68.65074920654297	Top1 Test accuracy: 67.26505279541016	Top5 test acc: 97.22599029541016
Epoch 11	Top1 Train accuracy 68.85801696777344	Top1 Test accuracy: 67.42130279541016	Top5 test acc: 97.20645904541016
Epoch 12	Top1 Train accuracy 68.99752807617188	Top1 Test accuracy: 67.52872467041016	Top5 test acc: 97.22599029541016
Epoch 13	Top1 Train accuracy 69.17091369628906	Top1 Test accuracy: 67.73149871826172	Top5 test acc: 97.21622467041016
Epoch 14	Top1 Train accuracy 69.33434295654297	Top1 Test accuracy: 67.81078338623047	Top5 test acc: 97.20645904541016
Epoch 15	Top1 Train accuracy 69.42402648925781	Top1 Test accuracy: 67.84984588623047	Top5 test acc: 97.25528717041016
Epoch 16	Top1 Train accuracy 69.50175476074219	Top1 Test accuracy: 67.99633026123047	Top5 test acc: 97.24552154541016
Epoch 17	Top1 Train accuracy 69.60140228271484	Top1 Test accuracy: 68.03653717041016	Top5 test acc: 97.22599029541016
Epoch 18	Top1 Train accuracy 69.70304107666016	Top1 Test accuracy: 68.22954559326172	Top5 test acc: 97.25528717041016
