My SLURM_ARRAY_TASK_ID: 


Using device: cuda
Files already downloaded and verified
Files already downloaded and verified
Epoch 0	Top1 Train accuracy 50.5317268371582	Top1 Test accuracy: 61.4958610534668	Top5 test acc: 95.98920440673828
Epoch 1	Top1 Train accuracy 64.2052001953125	Top1 Test accuracy: 64.51631927490234	Top5 test acc: 96.66303253173828
Epoch 2	Top1 Train accuracy 66.02519226074219	Top1 Test accuracy: 65.6272964477539	Top5 test acc: 96.79975128173828
Epoch 3	Top1 Train accuracy 66.96588134765625	Top1 Test accuracy: 66.25115203857422	Top5 test acc: 96.94278717041016
Epoch 4	Top1 Train accuracy 67.56377410888672	Top1 Test accuracy: 66.6526870727539	Top5 test acc: 96.99161529541016
Epoch 5	Top1 Train accuracy 68.03451538085938	Top1 Test accuracy: 67.14498901367188	Top5 test acc: 97.05997467041016
Epoch 6	Top1 Train accuracy 68.27606964111328	Top1 Test accuracy: 67.3219223022461	Top5 test acc: 97.08927154541016
Epoch 7	Top1 Train accuracy 68.50566101074219	Top1 Test accuracy: 67.6246566772461	Top5 test acc: 97.08065032958984
Epoch 8	Top1 Train accuracy 68.68343353271484	Top1 Test accuracy: 67.72346496582031	Top5 test acc: 97.12833404541016
Epoch 9	Top1 Train accuracy 68.89867401123047	Top1 Test accuracy: 67.90901184082031	Top5 test acc: 97.10880279541016
Epoch 10	Top1 Train accuracy 69.06488800048828	Top1 Test accuracy: 68.02619934082031	Top5 test acc: 97.08927154541016
Epoch 11	Top1 Train accuracy 69.226318359375	Top1 Test accuracy: 68.06526184082031	Top5 test acc: 97.08927154541016
Epoch 12	Top1 Train accuracy 69.35586547851562	Top1 Test accuracy: 68.20198059082031	Top5 test acc: 97.09903717041016
Epoch 13	Top1 Train accuracy 69.45751190185547	Top1 Test accuracy: 68.28010559082031	Top5 test acc: 97.10880279541016
Epoch 14	Top1 Train accuracy 69.55357360839844	Top1 Test accuracy: 68.28010559082031	Top5 test acc: 97.17716217041016
Epoch 15	Top1 Train accuracy 69.6472396850586	Top1 Test accuracy: 68.359375	Top5 test acc: 97.23575592041016
Epoch 16	Top1 Train accuracy 69.71898651123047	Top1 Test accuracy: 68.37029266357422	Top5 test acc: 97.23575592041016
Epoch 17	Top1 Train accuracy 69.78475952148438	Top1 Test accuracy: 68.42888641357422	Top5 test acc: 97.25643157958984
Epoch 18	Top1 Train accuracy 69.87643432617188	Top1 Test accuracy: 68.41912078857422	Top5 test acc: 97.27596282958984
Epoch 19	Top1 Train accuracy 69.91868591308594	Top1 Test accuracy: 68.369140625	Top5 test acc: 97.27596282958984
Epoch 20	Top1 Train accuracy 70.00238800048828	Top1 Test accuracy: 68.408203125	Top5 test acc: 97.29549407958984
Epoch 21	Top1 Train accuracy 70.05420684814453	Top1 Test accuracy: 68.41912078857422	Top5 test acc: 97.32479095458984
Epoch 22	Top1 Train accuracy 70.1219711303711	Top1 Test accuracy: 68.4375	Top5 test acc: 97.33455657958984
Epoch 23	Top1 Train accuracy 70.15983581542969	Top1 Test accuracy: 68.408203125	Top5 test acc: 97.33455657958984
Epoch 24	Top1 Train accuracy 70.19770050048828	Top1 Test accuracy: 68.42888641357422	Top5 test acc: 97.32479095458984
Epoch 25	Top1 Train accuracy 70.24752807617188	Top1 Test accuracy: 68.44841766357422	Top5 test acc: 97.31502532958984
Epoch 26	Top1 Train accuracy 70.2857894897461	Top1 Test accuracy: 68.43865203857422	Top5 test acc: 97.29549407958984
Epoch 27	Top1 Train accuracy 70.32963562011719	Top1 Test accuracy: 68.49609375	Top5 test acc: 97.27596282958984
Epoch 28	Top1 Train accuracy 70.42330932617188	Top1 Test accuracy: 68.544921875	Top5 test acc: 97.27596282958984
Epoch 29	Top1 Train accuracy 70.46316528320312	Top1 Test accuracy: 68.57537078857422	Top5 test acc: 97.27596282958984
Epoch 30	Top1 Train accuracy 70.4930648803711	Top1 Test accuracy: 68.57537078857422	Top5 test acc: 97.26619720458984
Epoch 31	Top1 Train accuracy 70.534912109375	Top1 Test accuracy: 68.603515625	Top5 test acc: 97.28572845458984
Epoch 32	Top1 Train accuracy 70.55484771728516	Top1 Test accuracy: 68.68049621582031	Top5 test acc: 97.26619720458984
Epoch 33	Top1 Train accuracy 70.56879425048828	Top1 Test accuracy: 68.642578125	Top5 test acc: 97.28572845458984
Epoch 34	Top1 Train accuracy 70.60466766357422	Top1 Test accuracy: 68.6328125	Top5 test acc: 97.28572845458984
Epoch 35	Top1 Train accuracy 70.64054107666016	Top1 Test accuracy: 68.6328125	Top5 test acc: 97.29549407958984
Epoch 36	Top1 Train accuracy 70.66844940185547	Top1 Test accuracy: 68.642578125	Top5 test acc: 97.27596282958984
Epoch 37	Top1 Train accuracy 70.69036865234375	Top1 Test accuracy: 68.662109375	Top5 test acc: 97.29549407958984
Epoch 38	Top1 Train accuracy 70.71826934814453	Top1 Test accuracy: 68.65349578857422	Top5 test acc: 97.31502532958984
Epoch 39	Top1 Train accuracy 70.74258422851562	Top1 Test accuracy: 68.65349578857422	Top5 test acc: 97.31502532958984
Epoch 40	Top1 Train accuracy 70.75852966308594	Top1 Test accuracy: 68.65349578857422	Top5 test acc: 97.31502532958984
Epoch 41	Top1 Train accuracy 70.76849365234375	Top1 Test accuracy: 68.67302703857422	Top5 test acc: 97.30525970458984
Epoch 42	Top1 Train accuracy 70.78044891357422	Top1 Test accuracy: 68.69255828857422	Top5 test acc: 97.30525970458984
Epoch 43	Top1 Train accuracy 70.81832122802734	Top1 Test accuracy: 68.70232391357422	Top5 test acc: 97.30525970458984
Epoch 44	Top1 Train accuracy 70.85618591308594	Top1 Test accuracy: 68.71208953857422	Top5 test acc: 97.30525970458984
Epoch 45	Top1 Train accuracy 70.86614990234375	Top1 Test accuracy: 68.7132339477539	Top5 test acc: 97.30525970458984
Epoch 46	Top1 Train accuracy 70.88209533691406	Top1 Test accuracy: 68.7034683227539	Top5 test acc: 97.28572845458984
Epoch 47	Top1 Train accuracy 70.89205932617188	Top1 Test accuracy: 68.7327651977539	Top5 test acc: 97.27596282958984
Epoch 48	Top1 Train accuracy 70.90800476074219	Top1 Test accuracy: 68.7327651977539	Top5 test acc: 97.24666595458984
Epoch 49	Top1 Train accuracy 70.92992401123047	Top1 Test accuracy: 68.7229995727539	Top5 test acc: 97.23690032958984
Epoch 50	Top1 Train accuracy 70.93191528320312	Top1 Test accuracy: 68.7132339477539	Top5 test acc: 97.23690032958984
Epoch 51	Top1 Train accuracy 70.93988800048828	Top1 Test accuracy: 68.7229995727539	Top5 test acc: 97.24666595458984
Epoch 52	Top1 Train accuracy 70.94786071777344	Top1 Test accuracy: 68.74138641357422	Top5 test acc: 97.24666595458984
Epoch 53	Top1 Train accuracy 70.94586944580078	Top1 Test accuracy: 68.71208953857422	Top5 test acc: 97.24666595458984
Epoch 54	Top1 Train accuracy 70.9498519897461	Top1 Test accuracy: 68.69255828857422	Top5 test acc: 97.24666595458984
Epoch 55	Top1 Train accuracy 70.95384216308594	Top1 Test accuracy: 68.70232391357422	Top5 test acc: 97.23690032958984
Epoch 56	Top1 Train accuracy 70.9558334350586	Top1 Test accuracy: 68.71208953857422	Top5 test acc: 97.24666595458984
Epoch 57	Top1 Train accuracy 70.9618148803711	Top1 Test accuracy: 68.71208953857422	Top5 test acc: 97.24666595458984
Epoch 58	Top1 Train accuracy 70.9618148803711	Top1 Test accuracy: 68.71208953857422	Top5 test acc: 97.24666595458984
Epoch 59	Top1 Train accuracy 70.9717788696289	Top1 Test accuracy: 68.6839370727539	Top5 test acc: 97.25643157958984
Epoch 60	Top1 Train accuracy 70.97377014160156	Top1 Test accuracy: 68.6839370727539	Top5 test acc: 97.25643157958984
Epoch 61	Top1 Train accuracy 70.9777603149414	Top1 Test accuracy: 68.6546401977539	Top5 test acc: 97.23690032958984
