INFO:root:Start SimCLR training for 200 epochs.
INFO:root:Training with gpu: False.
DEBUG:root:Epoch: 0	Loss: 6.000303745269775	Top1 accuracy: 5.2734375
DEBUG:root:Epoch: 1	Loss: 5.336014270782471	Top1 accuracy: 11.9140625
DEBUG:root:Epoch: 2	Loss: 5.320345878601074	Top1 accuracy: 16.9921875
DEBUG:root:Epoch: 3	Loss: 4.404932498931885	Top1 accuracy: 15.0390625
DEBUG:root:Epoch: 4	Loss: 4.415815353393555	Top1 accuracy: 21.484375
DEBUG:root:Epoch: 5	Loss: 4.192179203033447	Top1 accuracy: 23.2421875
DEBUG:root:Epoch: 6	Loss: 3.9040956497192383	Top1 accuracy: 25.9765625
DEBUG:root:Epoch: 7	Loss: 3.862379550933838	Top1 accuracy: 25.9765625
DEBUG:root:Epoch: 8	Loss: 4.236942291259766	Top1 accuracy: 28.515625
DEBUG:root:Epoch: 9	Loss: 3.7643613815307617	Top1 accuracy: 29.296875
DEBUG:root:Epoch: 10	Loss: 3.6895227432250977	Top1 accuracy: 33.0078125
DEBUG:root:Epoch: 11	Loss: 3.642958402633667	Top1 accuracy: 32.2265625
DEBUG:root:Epoch: 12	Loss: 3.6821916103363037	Top1 accuracy: 31.0546875
DEBUG:root:Epoch: 13	Loss: 3.518193006515503	Top1 accuracy: 40.4296875
DEBUG:root:Epoch: 14	Loss: 3.359452247619629	Top1 accuracy: 34.1796875
DEBUG:root:Epoch: 15	Loss: 3.5939459800720215	Top1 accuracy: 33.59375
DEBUG:root:Epoch: 16	Loss: 3.2236320972442627	Top1 accuracy: 36.5234375
DEBUG:root:Epoch: 17	Loss: 3.4009573459625244	Top1 accuracy: 42.1875
DEBUG:root:Epoch: 18	Loss: 3.411813497543335	Top1 accuracy: 43.9453125
DEBUG:root:Epoch: 19	Loss: 3.1566383838653564	Top1 accuracy: 38.8671875
DEBUG:root:Epoch: 20	Loss: 3.3832273483276367	Top1 accuracy: 43.75
DEBUG:root:Epoch: 21	Loss: 3.030794620513916	Top1 accuracy: 41.6015625
DEBUG:root:Epoch: 22	Loss: 2.992856025695801	Top1 accuracy: 40.0390625
DEBUG:root:Epoch: 23	Loss: 2.916454792022705	Top1 accuracy: 40.8203125
DEBUG:root:Epoch: 24	Loss: 3.030475616455078	Top1 accuracy: 42.3828125
DEBUG:root:Epoch: 25	Loss: 3.0890138149261475	Top1 accuracy: 42.7734375
DEBUG:root:Epoch: 26	Loss: 3.069580078125	Top1 accuracy: 41.6015625
DEBUG:root:Epoch: 27	Loss: 2.8560574054718018	Top1 accuracy: 50.0
DEBUG:root:Epoch: 28	Loss: 3.276517629623413	Top1 accuracy: 43.9453125
DEBUG:root:Epoch: 29	Loss: 3.0606460571289062	Top1 accuracy: 44.7265625
DEBUG:root:Epoch: 30	Loss: 2.795535087585449	Top1 accuracy: 46.09375
DEBUG:root:Epoch: 31	Loss: 2.9839837551116943	Top1 accuracy: 53.125
DEBUG:root:Epoch: 32	Loss: 2.727810859680176	Top1 accuracy: 42.96875
DEBUG:root:Epoch: 33	Loss: 2.530125617980957	Top1 accuracy: 53.7109375
DEBUG:root:Epoch: 34	Loss: 2.9654123783111572	Top1 accuracy: 49.4140625
DEBUG:root:Epoch: 35	Loss: 2.760819911956787	Top1 accuracy: 48.6328125
DEBUG:root:Epoch: 36	Loss: 2.495695114135742	Top1 accuracy: 46.6796875
DEBUG:root:Epoch: 37	Loss: 2.5365326404571533	Top1 accuracy: 43.9453125
DEBUG:root:Epoch: 38	Loss: 2.6275925636291504	Top1 accuracy: 47.265625
