INFO:root:Start SimCLR training for 200 epochs.
INFO:root:Training with gpu: False.
DEBUG:root:Epoch: 0	Loss: 5.332476615905762	Top1 accuracy: 1.3671875
DEBUG:root:Epoch: 1	Loss: 5.028031349182129	Top1 accuracy: 9.1796875
DEBUG:root:Epoch: 2	Loss: 4.750585079193115	Top1 accuracy: 13.28125
DEBUG:root:Epoch: 3	Loss: 4.670006275177002	Top1 accuracy: 13.671875
DEBUG:root:Epoch: 4	Loss: 4.126907825469971	Top1 accuracy: 18.9453125
DEBUG:root:Epoch: 5	Loss: 4.257261276245117	Top1 accuracy: 20.8984375
DEBUG:root:Epoch: 6	Loss: 4.544012069702148	Top1 accuracy: 30.2734375
DEBUG:root:Epoch: 7	Loss: 4.027203559875488	Top1 accuracy: 23.828125
DEBUG:root:Epoch: 8	Loss: 3.958585023880005	Top1 accuracy: 26.5625
DEBUG:root:Epoch: 9	Loss: 3.666903018951416	Top1 accuracy: 23.6328125
DEBUG:root:Epoch: 10	Loss: 3.789685010910034	Top1 accuracy: 39.6484375
DEBUG:root:Epoch: 11	Loss: 3.9235353469848633	Top1 accuracy: 25.1953125
DEBUG:root:Epoch: 12	Loss: 3.619459629058838	Top1 accuracy: 36.328125
DEBUG:root:Epoch: 13	Loss: 3.3767337799072266	Top1 accuracy: 34.9609375
DEBUG:root:Epoch: 14	Loss: 3.6507418155670166	Top1 accuracy: 35.15625
DEBUG:root:Epoch: 15	Loss: 3.5664260387420654	Top1 accuracy: 38.28125
DEBUG:root:Epoch: 16	Loss: 3.298311710357666	Top1 accuracy: 32.2265625
DEBUG:root:Epoch: 17	Loss: 3.2128028869628906	Top1 accuracy: 41.796875
DEBUG:root:Epoch: 18	Loss: 3.176731586456299	Top1 accuracy: 41.9921875
DEBUG:root:Epoch: 19	Loss: 3.196366310119629	Top1 accuracy: 36.71875
DEBUG:root:Epoch: 20	Loss: 3.1423592567443848	Top1 accuracy: 35.7421875
DEBUG:root:Epoch: 21	Loss: 3.009666681289673	Top1 accuracy: 34.765625
DEBUG:root:Epoch: 22	Loss: 2.8739805221557617	Top1 accuracy: 41.796875
DEBUG:root:Epoch: 23	Loss: 2.931708574295044	Top1 accuracy: 40.625
DEBUG:root:Epoch: 24	Loss: 2.84201717376709	Top1 accuracy: 43.9453125
DEBUG:root:Epoch: 25	Loss: 2.899327039718628	Top1 accuracy: 44.140625
DEBUG:root:Epoch: 26	Loss: 3.077685594558716	Top1 accuracy: 40.625
DEBUG:root:Epoch: 27	Loss: 3.2870137691497803	Top1 accuracy: 43.9453125
DEBUG:root:Epoch: 28	Loss: 3.3562111854553223	Top1 accuracy: 43.359375
DEBUG:root:Epoch: 29	Loss: 3.0494303703308105	Top1 accuracy: 44.140625
DEBUG:root:Epoch: 30	Loss: 2.809832811355591	Top1 accuracy: 46.6796875
DEBUG:root:Epoch: 31	Loss: 2.563631296157837	Top1 accuracy: 40.8203125
DEBUG:root:Epoch: 32	Loss: 2.9742507934570312	Top1 accuracy: 44.140625
DEBUG:root:Epoch: 33	Loss: 2.7051098346710205	Top1 accuracy: 49.0234375
DEBUG:root:Epoch: 34	Loss: 2.9872756004333496	Top1 accuracy: 44.3359375
DEBUG:root:Epoch: 35	Loss: 3.0756256580352783	Top1 accuracy: 49.21875
DEBUG:root:Epoch: 36	Loss: 2.6943368911743164	Top1 accuracy: 40.8203125
DEBUG:root:Epoch: 37	Loss: 2.644209384918213	Top1 accuracy: 44.53125
DEBUG:root:Epoch: 38	Loss: 2.4110944271087646	Top1 accuracy: 46.2890625
DEBUG:root:Epoch: 39	Loss: 3.0688133239746094	Top1 accuracy: 52.1484375
DEBUG:root:Epoch: 40	Loss: 2.3973467350006104	Top1 accuracy: 50.390625
DEBUG:root:Epoch: 41	Loss: 2.2980611324310303	Top1 accuracy: 51.953125
DEBUG:root:Epoch: 42	Loss: 2.7471418380737305	Top1 accuracy: 47.8515625
DEBUG:root:Epoch: 43	Loss: 2.747837543487549	Top1 accuracy: 46.484375
DEBUG:root:Epoch: 44	Loss: 2.737632989883423	Top1 accuracy: 53.515625
DEBUG:root:Epoch: 45	Loss: 2.70349383354187	Top1 accuracy: 51.3671875
DEBUG:root:Epoch: 46	Loss: 2.4022388458251953	Top1 accuracy: 57.8125
DEBUG:root:Epoch: 47	Loss: 2.355025053024292	Top1 accuracy: 47.8515625
DEBUG:root:Epoch: 48	Loss: 2.365482807159424	Top1 accuracy: 56.4453125
DEBUG:root:Epoch: 49	Loss: 2.477200984954834	Top1 accuracy: 50.1953125
DEBUG:root:Epoch: 50	Loss: 2.3799126148223877	Top1 accuracy: 49.0234375
DEBUG:root:Epoch: 51	Loss: 2.4207799434661865	Top1 accuracy: 47.65625
DEBUG:root:Epoch: 52	Loss: 2.5138988494873047	Top1 accuracy: 53.90625
DEBUG:root:Epoch: 53	Loss: 2.5315403938293457	Top1 accuracy: 53.125
DEBUG:root:Epoch: 54	Loss: 2.540426254272461	Top1 accuracy: 49.8046875
DEBUG:root:Epoch: 55	Loss: 2.3876216411590576	Top1 accuracy: 56.25
DEBUG:root:Epoch: 56	Loss: 2.5208492279052734	Top1 accuracy: 56.8359375
DEBUG:root:Epoch: 57	Loss: 2.1872334480285645	Top1 accuracy: 54.4921875
DEBUG:root:Epoch: 58	Loss: 2.312781810760498	Top1 accuracy: 51.5625
DEBUG:root:Epoch: 59	Loss: 2.3208160400390625	Top1 accuracy: 53.3203125
DEBUG:root:Epoch: 60	Loss: 2.13955020904541	Top1 accuracy: 45.1171875
DEBUG:root:Epoch: 61	Loss: 2.252328872680664	Top1 accuracy: 53.3203125
DEBUG:root:Epoch: 62	Loss: 2.357276201248169	Top1 accuracy: 50.5859375
DEBUG:root:Epoch: 63	Loss: 2.309018611907959	Top1 accuracy: 59.5703125
DEBUG:root:Epoch: 64	Loss: 2.312347412109375	Top1 accuracy: 53.90625
DEBUG:root:Epoch: 65	Loss: 2.5465261936187744	Top1 accuracy: 54.8828125
DEBUG:root:Epoch: 66	Loss: 2.290917158126831	Top1 accuracy: 57.2265625
DEBUG:root:Epoch: 67	Loss: 2.1879780292510986	Top1 accuracy: 54.1015625
DEBUG:root:Epoch: 68	Loss: 2.394092559814453	Top1 accuracy: 62.3046875
DEBUG:root:Epoch: 69	Loss: 2.0437796115875244	Top1 accuracy: 59.1796875
DEBUG:root:Epoch: 70	Loss: 2.063603639602661	Top1 accuracy: 55.859375
DEBUG:root:Epoch: 71	Loss: 2.4579665660858154	Top1 accuracy: 62.109375
DEBUG:root:Epoch: 72	Loss: 2.3120763301849365	Top1 accuracy: 55.2734375
DEBUG:root:Epoch: 73	Loss: 2.0089969635009766	Top1 accuracy: 51.953125
DEBUG:root:Epoch: 74	Loss: 2.2836873531341553	Top1 accuracy: 58.7890625
DEBUG:root:Epoch: 75	Loss: 2.2049880027770996	Top1 accuracy: 62.3046875
DEBUG:root:Epoch: 76	Loss: 2.1878108978271484	Top1 accuracy: 58.984375
DEBUG:root:Epoch: 77	Loss: 2.2969939708709717	Top1 accuracy: 58.3984375
DEBUG:root:Epoch: 78	Loss: 2.402116537094116	Top1 accuracy: 52.34375
DEBUG:root:Epoch: 79	Loss: 2.0633652210235596	Top1 accuracy: 53.90625
DEBUG:root:Epoch: 80	Loss: 2.1150190830230713	Top1 accuracy: 58.7890625
DEBUG:root:Epoch: 81	Loss: 2.191051959991455	Top1 accuracy: 54.6875
DEBUG:root:Epoch: 82	Loss: 2.235783100128174	Top1 accuracy: 57.03125
DEBUG:root:Epoch: 83	Loss: 2.1776180267333984	Top1 accuracy: 60.3515625
DEBUG:root:Epoch: 84	Loss: 2.1172828674316406	Top1 accuracy: 57.6171875
DEBUG:root:Epoch: 85	Loss: 2.0360777378082275	Top1 accuracy: 54.8828125
DEBUG:root:Epoch: 86	Loss: 2.171536445617676	Top1 accuracy: 58.7890625
DEBUG:root:Epoch: 87	Loss: 2.027944564819336	Top1 accuracy: 57.421875
DEBUG:root:Epoch: 88	Loss: 1.9962936639785767	Top1 accuracy: 58.203125
DEBUG:root:Epoch: 89	Loss: 1.936806559562683	Top1 accuracy: 61.9140625
DEBUG:root:Epoch: 90	Loss: 2.1565980911254883	Top1 accuracy: 58.7890625
DEBUG:root:Epoch: 91	Loss: 2.2524096965789795	Top1 accuracy: 61.1328125
DEBUG:root:Epoch: 92	Loss: 1.9877620935440063	Top1 accuracy: 57.6171875
DEBUG:root:Epoch: 93	Loss: 2.192124605178833	Top1 accuracy: 53.125
DEBUG:root:Epoch: 94	Loss: 1.9681099653244019	Top1 accuracy: 59.5703125
DEBUG:root:Epoch: 95	Loss: 2.2684202194213867	Top1 accuracy: 62.890625
DEBUG:root:Epoch: 96	Loss: 2.2439990043640137	Top1 accuracy: 59.375
DEBUG:root:Epoch: 97	Loss: 2.2575149536132812	Top1 accuracy: 53.3203125
DEBUG:root:Epoch: 98	Loss: 1.8982465267181396	Top1 accuracy: 57.2265625
DEBUG:root:Epoch: 99	Loss: 1.9865015745162964	Top1 accuracy: 58.203125
DEBUG:root:Epoch: 100	Loss: 2.0738866329193115	Top1 accuracy: 60.3515625
DEBUG:root:Epoch: 101	Loss: 2.165949583053589	Top1 accuracy: 57.2265625
DEBUG:root:Epoch: 102	Loss: 1.9166642427444458	Top1 accuracy: 61.9140625
DEBUG:root:Epoch: 103	Loss: 1.8435436487197876	Top1 accuracy: 64.6484375
DEBUG:root:Epoch: 104	Loss: 2.0529496669769287	Top1 accuracy: 62.6953125
DEBUG:root:Epoch: 105	Loss: 1.8735140562057495	Top1 accuracy: 63.4765625
DEBUG:root:Epoch: 106	Loss: 1.95365571975708	Top1 accuracy: 59.9609375
DEBUG:root:Epoch: 107	Loss: 2.052809953689575	Top1 accuracy: 65.0390625
DEBUG:root:Epoch: 108	Loss: 2.2340309619903564	Top1 accuracy: 60.9375
DEBUG:root:Epoch: 109	Loss: 1.852940320968628	Top1 accuracy: 59.765625
DEBUG:root:Epoch: 110	Loss: 1.8663573265075684	Top1 accuracy: 62.5
DEBUG:root:Epoch: 111	Loss: 1.9707581996917725	Top1 accuracy: 57.03125
DEBUG:root:Epoch: 112	Loss: 1.9128220081329346	Top1 accuracy: 61.9140625
DEBUG:root:Epoch: 113	Loss: 2.284080743789673	Top1 accuracy: 61.71875
DEBUG:root:Epoch: 114	Loss: 2.112791061401367	Top1 accuracy: 63.671875
DEBUG:root:Epoch: 115	Loss: 1.7950823307037354	Top1 accuracy: 57.8125
DEBUG:root:Epoch: 116	Loss: 1.852295994758606	Top1 accuracy: 61.1328125
DEBUG:root:Epoch: 117	Loss: 1.878988265991211	Top1 accuracy: 64.0625
DEBUG:root:Epoch: 118	Loss: 2.3552682399749756	Top1 accuracy: 60.9375
DEBUG:root:Epoch: 119	Loss: 1.8887253999710083	Top1 accuracy: 67.3828125
DEBUG:root:Epoch: 120	Loss: 1.6693469285964966	Top1 accuracy: 65.4296875
DEBUG:root:Epoch: 121	Loss: 1.9275124073028564	Top1 accuracy: 64.6484375
DEBUG:root:Epoch: 122	Loss: 1.763906717300415	Top1 accuracy: 63.671875
DEBUG:root:Epoch: 123	Loss: 1.8835217952728271	Top1 accuracy: 70.5078125
DEBUG:root:Epoch: 124	Loss: 2.007333278656006	Top1 accuracy: 65.4296875
DEBUG:root:Epoch: 125	Loss: 2.0732510089874268	Top1 accuracy: 69.3359375
DEBUG:root:Epoch: 126	Loss: 1.8861274719238281	Top1 accuracy: 64.0625
DEBUG:root:Epoch: 127	Loss: 1.888739824295044	Top1 accuracy: 66.9921875
DEBUG:root:Epoch: 128	Loss: 1.7360166311264038	Top1 accuracy: 63.4765625
DEBUG:root:Epoch: 129	Loss: 1.7233597040176392	Top1 accuracy: 66.015625
DEBUG:root:Epoch: 130	Loss: 2.0530166625976562	Top1 accuracy: 62.890625
DEBUG:root:Epoch: 131	Loss: 1.644751787185669	Top1 accuracy: 64.84375
DEBUG:root:Epoch: 132	Loss: 1.7355138063430786	Top1 accuracy: 63.4765625
DEBUG:root:Epoch: 133	Loss: 1.7762645483016968	Top1 accuracy: 65.625
DEBUG:root:Epoch: 134	Loss: 1.7626162767410278	Top1 accuracy: 56.0546875
DEBUG:root:Epoch: 135	Loss: 1.74162757396698	Top1 accuracy: 67.96875
DEBUG:root:Epoch: 136	Loss: 1.5643538236618042	Top1 accuracy: 63.671875
DEBUG:root:Epoch: 137	Loss: 2.143679141998291	Top1 accuracy: 65.8203125
DEBUG:root:Epoch: 138	Loss: 2.003793239593506	Top1 accuracy: 61.328125
DEBUG:root:Epoch: 139	Loss: 1.7389248609542847	Top1 accuracy: 62.5
DEBUG:root:Epoch: 140	Loss: 2.0343868732452393	Top1 accuracy: 66.2109375
DEBUG:root:Epoch: 141	Loss: 1.8444007635116577	Top1 accuracy: 66.2109375
DEBUG:root:Epoch: 142	Loss: 2.0098817348480225	Top1 accuracy: 61.1328125
DEBUG:root:Epoch: 143	Loss: 1.8080813884735107	Top1 accuracy: 61.9140625
DEBUG:root:Epoch: 144	Loss: 1.7561091184616089	Top1 accuracy: 62.3046875
DEBUG:root:Epoch: 145	Loss: 1.8820128440856934	Top1 accuracy: 65.4296875
DEBUG:root:Epoch: 146	Loss: 1.9671375751495361	Top1 accuracy: 66.796875
DEBUG:root:Epoch: 147	Loss: 1.9137977361679077	Top1 accuracy: 66.2109375
DEBUG:root:Epoch: 148	Loss: 1.9245426654815674	Top1 accuracy: 67.96875
DEBUG:root:Epoch: 149	Loss: 1.665832281112671	Top1 accuracy: 65.234375
DEBUG:root:Epoch: 150	Loss: 1.680485486984253	Top1 accuracy: 64.84375
DEBUG:root:Epoch: 151	Loss: 1.7776097059249878	Top1 accuracy: 65.4296875
DEBUG:root:Epoch: 152	Loss: 1.5586167573928833	Top1 accuracy: 66.9921875
DEBUG:root:Epoch: 153	Loss: 1.7220923900604248	Top1 accuracy: 61.71875
DEBUG:root:Epoch: 154	Loss: 1.8327784538269043	Top1 accuracy: 67.3828125
DEBUG:root:Epoch: 155	Loss: 1.619822382926941	Top1 accuracy: 68.5546875
DEBUG:root:Epoch: 156	Loss: 1.765133023262024	Top1 accuracy: 63.8671875
DEBUG:root:Epoch: 157	Loss: 1.8110464811325073	Top1 accuracy: 62.6953125
DEBUG:root:Epoch: 158	Loss: 1.733966588973999	Top1 accuracy: 65.4296875
DEBUG:root:Epoch: 159	Loss: 1.8603211641311646	Top1 accuracy: 66.2109375
DEBUG:root:Epoch: 160	Loss: 1.5506038665771484	Top1 accuracy: 66.015625
DEBUG:root:Epoch: 161	Loss: 1.7977020740509033	Top1 accuracy: 67.1875
DEBUG:root:Epoch: 162	Loss: 1.6022089719772339	Top1 accuracy: 64.0625
DEBUG:root:Epoch: 163	Loss: 1.6606240272521973	Top1 accuracy: 64.6484375
DEBUG:root:Epoch: 164	Loss: 1.766904592514038	Top1 accuracy: 65.8203125
DEBUG:root:Epoch: 165	Loss: 1.9166597127914429	Top1 accuracy: 70.8984375
DEBUG:root:Epoch: 166	Loss: 1.576172947883606	Top1 accuracy: 66.015625
DEBUG:root:Epoch: 167	Loss: 1.7474095821380615	Top1 accuracy: 66.40625
DEBUG:root:Epoch: 168	Loss: 1.8156934976577759	Top1 accuracy: 65.4296875
DEBUG:root:Epoch: 169	Loss: 1.5580902099609375	Top1 accuracy: 66.6015625
DEBUG:root:Epoch: 170	Loss: 1.7445820569992065	Top1 accuracy: 66.6015625
DEBUG:root:Epoch: 171	Loss: 1.816194772720337	Top1 accuracy: 67.3828125
DEBUG:root:Epoch: 172	Loss: 1.718662142753601	Top1 accuracy: 69.140625
DEBUG:root:Epoch: 173	Loss: 1.5879604816436768	Top1 accuracy: 67.3828125
DEBUG:root:Epoch: 174	Loss: 1.9484273195266724	Top1 accuracy: 64.6484375
DEBUG:root:Epoch: 175	Loss: 1.513521671295166	Top1 accuracy: 68.9453125
DEBUG:root:Epoch: 176	Loss: 1.7398874759674072	Top1 accuracy: 66.9921875
DEBUG:root:Epoch: 177	Loss: 1.7342971563339233	Top1 accuracy: 68.75
DEBUG:root:Epoch: 178	Loss: 1.6833178997039795	Top1 accuracy: 71.875
DEBUG:root:Epoch: 179	Loss: 1.8371567726135254	Top1 accuracy: 66.6015625
DEBUG:root:Epoch: 180	Loss: 1.5607287883758545	Top1 accuracy: 62.3046875
DEBUG:root:Epoch: 181	Loss: 1.501688003540039	Top1 accuracy: 68.359375
DEBUG:root:Epoch: 182	Loss: 1.8802528381347656	Top1 accuracy: 68.359375
DEBUG:root:Epoch: 183	Loss: 1.700617790222168	Top1 accuracy: 69.3359375
DEBUG:root:Epoch: 184	Loss: 1.723575234413147	Top1 accuracy: 71.484375
DEBUG:root:Epoch: 185	Loss: 1.5904134511947632	Top1 accuracy: 65.4296875
DEBUG:root:Epoch: 186	Loss: 1.496233344078064	Top1 accuracy: 68.75
DEBUG:root:Epoch: 187	Loss: 1.6676912307739258	Top1 accuracy: 62.6953125
DEBUG:root:Epoch: 188	Loss: 1.697454571723938	Top1 accuracy: 68.1640625
DEBUG:root:Epoch: 189	Loss: 1.8789068460464478	Top1 accuracy: 70.5078125
DEBUG:root:Epoch: 190	Loss: 1.6854100227355957	Top1 accuracy: 63.8671875
DEBUG:root:Epoch: 191	Loss: 1.678972601890564	Top1 accuracy: 68.9453125
DEBUG:root:Epoch: 192	Loss: 1.7452503442764282	Top1 accuracy: 65.625
DEBUG:root:Epoch: 193	Loss: 1.727794885635376	Top1 accuracy: 64.2578125
DEBUG:root:Epoch: 194	Loss: 1.5617109537124634	Top1 accuracy: 70.8984375
DEBUG:root:Epoch: 195	Loss: 1.692824125289917	Top1 accuracy: 72.265625
DEBUG:root:Epoch: 196	Loss: 1.5241146087646484	Top1 accuracy: 68.9453125
DEBUG:root:Epoch: 197	Loss: 1.580402135848999	Top1 accuracy: 72.0703125
