INFO:root:Start SimCLR training for 200 epochs.
INFO:root:Training with gpu: False.
DEBUG:root:Epoch: 0	Loss: 5.34388542175293	Top1 accuracy: 7.6171875
DEBUG:root:Epoch: 1	Loss: 4.880437850952148	Top1 accuracy: 13.0859375
DEBUG:root:Epoch: 2	Loss: 4.718056678771973	Top1 accuracy: 19.3359375
DEBUG:root:Epoch: 3	Loss: 4.323674201965332	Top1 accuracy: 16.40625
DEBUG:root:Epoch: 4	Loss: 4.351790904998779	Top1 accuracy: 21.2890625
DEBUG:root:Epoch: 5	Loss: 4.192248821258545	Top1 accuracy: 20.1171875
DEBUG:root:Epoch: 6	Loss: 3.8900492191314697	Top1 accuracy: 26.5625
DEBUG:root:Epoch: 7	Loss: 3.8876922130584717	Top1 accuracy: 27.734375
DEBUG:root:Epoch: 8	Loss: 4.164216995239258	Top1 accuracy: 30.2734375
DEBUG:root:Epoch: 9	Loss: 3.762450933456421	Top1 accuracy: 29.4921875
DEBUG:root:Epoch: 10	Loss: 3.7314953804016113	Top1 accuracy: 34.9609375
DEBUG:root:Epoch: 11	Loss: 3.6456427574157715	Top1 accuracy: 31.25
DEBUG:root:Epoch: 12	Loss: 3.7439262866973877	Top1 accuracy: 32.6171875
DEBUG:root:Epoch: 13	Loss: 3.5838310718536377	Top1 accuracy: 39.0625
DEBUG:root:Epoch: 14	Loss: 3.423827648162842	Top1 accuracy: 35.3515625
DEBUG:root:Epoch: 15	Loss: 3.591320276260376	Top1 accuracy: 32.421875
DEBUG:root:Epoch: 16	Loss: 3.2453203201293945	Top1 accuracy: 35.9375
DEBUG:root:Epoch: 17	Loss: 3.3536720275878906	Top1 accuracy: 41.6015625
DEBUG:root:Epoch: 18	Loss: 3.4440464973449707	Top1 accuracy: 45.5078125
DEBUG:root:Epoch: 19	Loss: 3.207933187484741	Top1 accuracy: 38.28125
DEBUG:root:Epoch: 20	Loss: 3.411532402038574	Top1 accuracy: 44.53125
DEBUG:root:Epoch: 21	Loss: 3.143132209777832	Top1 accuracy: 40.8203125
